countries,total
Russia,7
Ukraine,4
Germany,1
Finland,3
Jordan,2
Bulgaria,1
Lebanon,1
China,27
Malaysia,4
Denmark,3
Estonia,1
Singapore,1
Thailand,1
Philippines,8
Australia,2
Macau,1
France,1
Canada,2
United States,6
Sweden,4
Pakistan,2
Israel,2
Brazil,4
Romania,1
